DRG;DESCRIPTION
1;HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MAJOR COMPLICATION OR COMORBIDITY
2;HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MAJOR COMPLICATION OR COMORBIDITY
3;ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURE
4;TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURE
5;LIVER TRANSPLANT WITH MAJOR COMPLICATION OR COMORBIDITY OR INTESTINAL TRANSPLANT
6;LIVER TRANSPLANT WITHOUT MAJOR COMPLICATION OR COMORBIDITY
7;LUNG TRANSPLANT
8;SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT
10;PANCREAS TRANSPLANT
11;TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES WITH MAJOR COMPLICATION OR COMORBIDITY
12;TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES WITH COMPLICATION OR COMORBIDITY
13;TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
14;ALLOGENEIC BONE MARROW TRANSPLANT
16;AUTOLOGOUS BONE MARROW TRANSPLANT WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
17;AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
20;INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH MAJOR COMPLICATION OR COMORBIDITY
21;INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH COMPLICATION OR COMORBIDITY
22;INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
23;CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITH MAJOR COMPLICATION OR COMORBIDITY OR CHEMOTHERAPY IMPLANT
24;CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITHOUT MAJOR COMPLICATION OR COMORBIDITY
25;CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
26;CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH COMPLICATION OR COMORBIDITY
27;CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
28;SPINAL PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
29;SPINAL PROCEDURES WITH COMPLICATION OR COMORBIDITY OR SPINAL NEUROSTIMULATORS
30;SPINAL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
31;VENTRICULAR SHUNT PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
